,arrival_sec,depart_sec,duration_sec,episode,id,wait_sec,wait_step
274,1175.00,732.00,443.00,1,f:2_7.12,342.00,301
275,1177.00,988.00,189.00,1,f:3_1.8,82.30,52
276,1179.00,1066.00,113.00,1,f:3_1.15,25.60,1
277,1182.00,1010.00,172.00,1,f:3_1.10,62.01,32
278,1189.00,999.00,190.00,1,f:3_8.9,20.14,12
279,1197.00,1099.00,98.00,1,f:3_3.18,16.63,0
280,1199.00,1044.00,155.00,1,f:3_9.13,61.80,30
281,1201.00,1044.00,157.00,1,f:3_1.13,69.46,38
282,1203.00,1055.00,148.00,1,f:3_9.14,42.21,17
283,1204.00,1110.00,94.00,1,f:3_3.19,12.23,0
284,1206.00,721.00,485.00,1,f:2_0.11,357.42,344
285,1208.00,1121.00,87.00,1,f:3_3.20,11.21,0
286,1214.00,1099.00,115.00,1,f:3_1.18,22.54,3
287,1219.00,1121.00,98.00,1,f:3_2.20,13.71,0
288,1220.00,1110.00,110.00,1,f:3_2.19,40.15,28
289,1221.00,1132.00,89.00,1,f:3_3.21,14.41,0
290,1223.00,1088.00,135.00,1,f:3_1.17,33.25,10
291,1227.00,1077.00,150.00,1,f:3_9.16,79.91,49
292,1230.00,1143.00,87.00,1,f:3_2.22,27.54,13
293,1231.00,1143.00,88.00,1,f:3_1.22,30.31,10
294,1233.00,1143.00,90.00,1,f:3_3.22,11.09,0
295,1238.00,1121.00,117.00,1,f:3_9.20,43.95,26
296,1239.00,1132.00,107.00,1,f:3_1.21,11.89,0
297,1240.00,1088.00,152.00,1,f:3_9.17,74.70,25
298,1242.00,1055.00,187.00,1,f:3_1.14,53.28,26
299,1244.00,900.00,344.00,1,f:3_7.0,40.83,5
300,1249.00,1032.00,217.00,1,f:3_0.12,32.84,17
301,1251.00,1077.00,174.00,1,f:3_2.16,104.80,68
302,1253.00,1077.00,176.00,1,f:3_3.16,95.89,68
303,1262.00,1154.00,108.00,1,f:3_3.23,24.32,2
304,1264.00,1165.00,99.00,1,f:3_3.24,15.90,0
305,1268.00,1176.00,92.00,1,f:3_3.25,12.86,1
306,1269.00,1188.00,81.00,1,f:3_3.26,18.52,0
307,1271.00,1099.00,172.00,1,f:3_2.18,91.88,60
308,1271.00,1032.00,239.00,1,f:3_7.12,138.45,104
309,1274.00,854.00,420.00,1,f:2_5.23,60.13,24
310,1276.00,1132.00,144.00,1,f:3_2.21,67.10,33
311,1279.00,876.00,403.00,1,f:2_5.25,38.94,2
312,1280.00,1211.00,69.00,1,f:4_2.1,14.83,2
313,1282.00,1188.00,94.00,1,f:3_1.26,24.14,6
314,1285.00,911.00,374.00,1,f:3_8.1,316.42,302
315,1286.00,1211.00,75.00,1,f:4_1.1,14.26,1
316,1292.00,1200.00,92.00,1,f:4_3.0,32.86,4
317,1292.00,1021.00,271.00,1,f:3_7.11,156.73,120
318,1294.00,1176.00,118.00,1,f:3_1.25,38.95,12
319,1298.00,1066.00,232.00,1,f:3_0.15,32.53,7
320,1300.00,1110.00,190.00,1,f:3_8.19,8.53,1
321,1303.00,1143.00,160.00,1,f:3_9.22,84.86,62
322,1304.00,1110.00,194.00,1,f:3_1.19,72.78,30
323,1309.00,1121.00,188.00,1,f:3_1.20,61.44,12
324,1311.00,1165.00,146.00,1,f:3_1.24,55.09,2
325,1312.00,1066.00,246.00,1,f:3_9.15,133.18,93
326,1313.00,1222.00,91.00,1,f:4_9.2,25.55,4
327,1316.00,1099.00,217.00,1,f:3_9.18,147.56,109
328,1320.00,1199.00,121.00,1,f:3_3.27,36.17,0
329,1320.00,1176.00,144.00,1,f:3_9.25,26.58,6
330,1322.00,1211.00,111.00,1,f:4_3.1,42.16,17
331,1329.00,1199.00,130.00,1,f:3_2.27,46.03,13
332,1337.00,1255.00,82.00,1,f:4_3.5,9.16,0
333,1339.00,1222.00,117.00,1,f:4_11.2,19.27,3
334,1339.00,455.00,884.00,1,f:1_3.14,707.42,657
335,1346.00,1222.00,124.00,1,f:4_3.2,41.50,10
336,1347.00,1154.00,193.00,1,f:3_1.23,95.57,45
337,1355.00,1222.00,133.00,1,f:4_2.2,50.30,9
338,1364.00,1233.00,131.00,1,f:4_3.3,52.16,4
339,1366.00,1199.00,167.00,1,f:3_9.27,37.94,15
340,1366.00,1277.00,89.00,1,f:4_3.7,11.85,0
341,1368.00,1200.00,168.00,1,f:4_10.0,54.91,19
342,1371.00,1233.00,138.00,1,f:4_11.3,23.68,8
343,1376.00,1154.00,222.00,1,f:3_9.23,75.96,56
344,1378.00,1132.00,246.00,1,f:3_9.21,182.81,146
345,1384.00,876.00,508.00,1,f:2_1.25,427.39,405
346,1385.00,1244.00,141.00,1,f:4_10.4,35.01,4
347,1386.00,911.00,475.00,1,f:3_1.1,402.54,373
348,1390.00,1165.00,225.00,1,f:3_9.24,160.11,128
349,1391.00,1266.00,125.00,1,f:4_3.6,13.38,0
350,1399.00,854.00,545.00,1,f:2_7.23,429.83,386
351,1401.00,865.00,536.00,1,f:2_7.24,257.26,183
352,1402.00,1255.00,147.00,1,f:4_2.5,88.01,72
353,1405.00,933.00,472.00,1,f:3_3.3,390.35,359
354,1412.00,1233.00,179.00,1,f:4_10.3,56.09,31
355,1414.00,933.00,481.00,1,f:3_1.3,408.75,380
356,1415.00,977.00,438.00,1,f:3_1.7,364.52,322
357,1417.00,633.00,784.00,1,f:2_0.3,717.39,672
358,1420.00,688.00,732.00,1,f:2_0.8,570.08,528
359,1421.00,666.00,755.00,1,f:2_7.6,653.12,610
360,1435.00,1244.00,191.00,1,f:4_11.4,79.64,45
361,1436.00,1288.00,148.00,1,f:4_11.8,65.02,17
362,1447.00,644.00,803.00,1,f:2_7.4,715.93,668
363,1449.00,1200.00,249.00,1,f:4_11.0,191.50,159
364,1450.00,1310.00,140.00,1,f:4_2.10,79.02,64
365,1452.00,1110.00,342.00,1,f:3_9.19,237.93,196
366,1456.00,1288.00,168.00,1,f:4_10.8,78.30,52
367,1458.00,1188.00,270.00,1,f:3_9.26,190.05,156
368,1460.00,1310.00,150.00,1,f:4_3.10,60.85,37
369,1461.00,1266.00,195.00,1,f:4_10.6,93.55,57
370,1463.00,999.00,464.00,1,f:3_7.9,346.06,311
371,1464.00,1143.00,321.00,1,f:3_0.22,140.23,121
372,1467.00,699.00,768.00,1,f:2_5.9,671.46,623
373,1468.00,1299.00,169.00,1,f:4_9.9,52.45,34
374,1472.00,1255.00,217.00,1,f:4_1.5,146.84,122
375,1473.00,1388.00,85.00,1,f:4_3.17,14.63,2
376,1476.00,710.00,766.00,1,f:2_5.10,654.91,614
377,1478.00,777.00,701.00,1,f:2_5.16,414.12,333
378,1480.00,1332.00,148.00,1,f:4_2.12,14.34,1
379,1483.00,1332.00,151.00,1,f:4_3.12,9.59,0
380,1484.00,1344.00,140.00,1,f:4_3.13,16.54,0
